Conc.ADP;Conc.ADPr;FracInhib
0.00;0.00;1000
0.50;0.00;776
1.00;0.00;629
1.50;0.00;532
2.00;0.00;445
2.50;0.00;395
0.00;95.0;611
0.50;95.0;528
1.00;95.0;446
1.50;95.0;413
2.00;95.0;373
2.50;95.0;324
0.00;190.0;465
0.50;190.0;415
1.00;190.0;363
1.50;190.0;319
2.00;190.0;288
2.50;190.0;273
0.00;285.0;361
0.50;285.0;330
1.00;285.0;303
1.50;285.0;266
2.00;285.0;252
2.50;285.0;233
0.00;380.0;293
0.50;380.0;265
1.00;380.0;254
1.50;380.0;238
2.00;380.0;219
2.50;380.0;204
0.00;475.0;252
0.50;475.0;237
1.00;475.0;216
1.50;475.0;201
2.00;475.0;198
2.50;475.0;183